#  FIFO    SPPIFO  Greedy Fixed_queue_bounds
0   8981   0   0   0
1   9223   79   66   75
2   9052   176   164   149
3   8964   255   210   222
4   9044   293   261   299
5   8959   380   345   361
6   8951   452   407   455
7   9071   495   486   477
8   8961   515   560   562
9   9133   593   636   661
10   9115   613   637   750
11   9003   650   592   774
12   9056   641   205   0
13   9049   674   137   140
14   9038   728   243   224
15   9032   744   345   321
16   9055   749   409   414
17   9129   734   549   519
18   8901   732   674   621
19   9124   739   731   756
20   8975   754   785   807
21   9044   792   840   880
22   8899   821   910   989
23   8906   814   754   1073
24   9084   787   471   0
25   9143   780   311   160
26   9056   809   390   319
27   9090   800   522   522
28   9158   838   706   615
29   8924   843   825   735
30   8944   824   870   898
31   9144   829   1121   978
32   9099   904   1175   1163
33   9007   906   1320   1263
34   8966   1045   1180   1275
35   9026   1002   1007   1464
36   8905   996   817   0
37   8967   1059   592   277
38   8902   1104   699   524
39   9185   1216   876   686
40   8969   1246   1079   934
41   8991   1312   1230   1141
42   9033   1334   1458   1334
43   9043   1377   1665   1506
44   8884   1438   1779   1648
45   9006   1549   1830   1855
46   8933   1653   1687   1991
47   9084   1718   1535   2151
48   8924   1826   1380   0
49   8953   1841   1169   427
50   8844   1948   1163   824
51   8903   2005   1441   1231
52   9106   2147   1798   1490
53   8942   2322   2030   1706
54   8849   2445   2275   2110
55   9091   2470   2400   2365
56   9114   2664   2529   2500
57   8914   2616   2546   2733
58   9022   2818   2450   2987
59   8960   2725   2388   3036
60   8941   2971   2362   0
61   8892   2981   2198   834
62   8888   3274   2061   1615
63   9020   3381   2473   2108
64   9100   3467   2940   2479
65   8937   3732   3202   3018
66   8665   3724   3409   3294
67   8858   3840   3534   3567
68   8868   3932   3583   3907
69   8883   4013   3644   4133
70   8931   4271   3588   4399
71   9012   4172   3624   4639
72   8949   4433   3689   0
73   8779   4558   3546   1387
74   8750   4713   3293   2371
75   8720   4822   3433   3302
76   8731   4865   4127   3846
77   8737   4944   4454   4436
78   8730   5104   4594   4757
79   8649   5245   4649   4991
80   8610   5236   4717   5216
81   8709   5303   4613   5472
82   8593   5346   4569   5878
83   8592   5444   4292   5798
84   8698   5559   4052   0
85   8429   5643   3450   1413
86   8607   5693   3035   2425
87   8305   5676   2741   3183
88   8457   5757   3364   3527
89   8358   5727   3892   4122
90   8202   5905   4285   4285
91   8076   5977   4720   4585
92   8022   5795   4900   4765
93   7674   5905   4995   4980
94   7269   5937   5070   5038
95   7041   6010   5261   5145
96   6184   5981   5516   5285
97   5153   5902   5608   5520
98   3239   5827   5508   5630
99   0   5884   5715   5511
